WGATAR_position,WGATAR_chr,WGATAR_id,WGATAR_start,WGATAR_end,WGATAR_to_GATA1_peak_summit,Number_editable_bases,background_genes_counts_on_TAD,WGATAG_to_nearest_gene_distance,dis_motif2motif,RAD21,GATA1,TAL1,LDB1,CTCF,MED1,ATAC,BRD4,NIPBL,GATA2,effect_value,PHRED,phylop,chromatin_state,delta_occupancy,delta_atac,scores_evo2,GC_content
chr1:231108463-231108469,chr1,WGATAR_256,231108463,231108469,227,2,21,-6259,5282,3.0,5.75,6.75,2.5,2.0,3.5,1.04,3.25,2.25,4.0,0.425788365,5.269,0.0,10,0.07891059,-0.0051259995,1.50701904296875,0.4
chr1:231113751-231113757,chr1,WGATAR_257,231113751,231113757,412,3,21,-971,1254,7.0,16.75,4.75,2.25,8.5,6.25,2.08,8.75,11.5,6.5,0.30667529,9.180217391304348,0.0251667,15,0.8094833,0.2736473,0.213348388671875,0.45
chr1:231115011-231115017,chr1,WGATAR_259,231115011,231115017,234,1,21,-391,149,21.5,67.5,10.0,6.5,45.25,5.5,8.84,20.5,14.25,9.0,0.45611642,26.366666666666674,0.0,15,1.3510828,0.5126705,-49.740234375,0.5
chr1:231115166-231115172,chr1,WGATAR_258,231115166,231115172,389,1,21,-546,149,10.25,34.5,6.25,5.25,20.5,5.0,5.72,13.0,9.5,11.0,0.781332618,9.25218181818182,-0.0146667,15,0.42504072,0.121557474,-1.5893173217773438,0.45
chr1:231120687-231120693,chr1,WGATAR_261,231120687,231120693,332,2,21,-6067,840,8.25,99.0,19.75,27.0,5.5,11.75,6.24,23.25,16.0,12.25,-0.237519189,3.4288000000000003,0.0,20,0.3432274,0.54093003,-93.78564453125,0.4
chr1:231121533-231121539,chr1,WGATAR_260,231121533,231121539,514,1,21,-6913,840,5.0,6.75,11.5,6.0,5.75,5.5,1.56,9.0,8.25,7.0,2.576339212,4.798166666666667,-0.284167,20,0.01196146,0.021434784,-0.275146484375,0.55
chr1:231151258-231151264,chr1,WGATAR_262,231151258,231151264,182,3,21,-26390,159,5.75,7.25,5.0,0.75,13.25,2.75,0.52,5.75,5.75,2.5,0.332918837,4.3945384615384615,0.0,7,0.019704461,-0.04331398,0.8779296875,0.4
chr1:231151423-231151429,chr1,WGATAR_264,231151423,231151429,17,4,21,-26555,8,11.5,16.25,5.25,2.75,34.25,6.0,0.0,7.75,5.0,5.25,0.605030778,1.8564545454545454,-0.351333,9,0.7072862,0.08685684,0.577423095703125,0.4
chr1:231151437-231151443,chr1,WGATAR_263,231151437,231151443,3,1,21,-26569,8,11.5,16.25,5.25,2.75,34.25,6.0,0.0,7.75,5.0,5.25,0.347428393,3.000333333333333,0.0,9,0.075127006,0.019976854,-3.512969970703125,0.35
chr1:231177288-231177294,chr1,WGATAR_266,231177288,231177294,266,2,21,-1289,586,23.25,71.75,19.5,16.5,21.5,28.5,9.36,91.75,26.5,21.5,0.469257146,3.4326666666666665,-0.127333,15,0.8602607,0.0637393,2.014984130859375,0.4
chr1:231177880-231177886,chr1,WGATAR_265,231177880,231177886,326,3,21,-1881,586,10.25,15.75,11.5,12.75,4.0,8.0,2.08,17.0,10.25,6.5,0.431091132,0.022,0.0,20,0.49722493,0.062085867,-7.49578857421875,0.4
chr1:231182171-231182177,chr1,WGATAR_269,231182171,231182177,57,1,21,-6172,546,12.5,61.0,25.0,33.25,3.75,17.25,5.72,45.0,15.75,9.25,1.117426196,4.623833333333333,0.1985,20,0.2806276,0.19013977,-19.06103515625,0.7
chr1:231182723-231182729,chr1,WGATAR_268,231182723,231182729,609,3,21,-6724,178,4.5,30.0,8.75,7.25,2.75,16.75,2.08,13.5,10.25,4.0,0.937572332,2.314666666666667,0.0,20,1.4582386,0.60879326,0.202850341796875,0.6
chr1:231182907-231182913,chr1,WGATAR_267,231182907,231182913,793,2,21,-6908,178,3.75,13.75,7.25,3.25,1.0,7.0,0.52,8.75,7.75,5.0,0.588093727,4.942333333333333,0.0,20,0.045572817,0.0016815662,-1.7055282592773438,0.45
chr1:231189601-231189607,chr1,WGATAR_270,231189601,231189607,7,3,21,-13602,6688,22.25,143.0,13.0,28.75,20.5,28.25,12.48,50.25,41.75,21.25,0.57307071,10.417538461538461,0.417333,20,1.0869138,0.60591936,-0.817657470703125,0.45
chr1:231207799-231207805,chr1,WGATAR_271,231207799,231207805,39,3,21,-31800,1456,11.75,47.5,6.5,3.5,5.25,18.0,2.6,27.0,13.0,6.75,0.138330642,2.9381176470588235,0.0245,20,0.2468124,0.07649851,-6.8753662109375,0.3
chr1:231209261-231209267,chr1,WGATAR_275,231209261,231209267,18,3,21,-33262,2,6.5,49.75,33.0,44.75,6.0,16.5,16.64,33.0,17.5,13.25,-0.076789768,3.84875,0.0,20,-0.29274273,-0.36702824,-0.513275146484375,0.4
chr1:231209269-231209275,chr1,WGATAR_274,231209269,231209275,10,4,21,-33270,2,6.5,49.75,33.0,44.75,6.0,16.5,16.64,33.0,17.5,13.25,-0.425822611,3.5845000000000002,0.0,20,1.0757713,0.79798555,-16.4305419921875,0.3
chr1:231209279-231209285,chr1,WGATAR_273,231209279,231209285,0,3,21,-33280,4,9.75,57.5,34.5,52.25,6.25,17.75,16.12,36.0,18.0,13.25,-0.156143729,4.972666666666666,0.0,20,0.2602682,0.062815666,-9.38525390625,0.5
chr1:231209550-231209556,chr1,WGATAR_272,231209550,231209556,271,2,21,-33551,265,11.25,30.5,11.25,10.75,4.5,16.75,2.6,13.5,7.75,10.0,0.157722939,2.1342499999999998,-0.066,20,0.9187783,0.16414642,-7.009765625,0.6
chr1:231213921-231213927,chr1,WGATAR_276,231213921,231213927,305,4,21,-37922,317,3.0,8.5,4.0,5.5,3.25,3.5,0.0,3.75,2.0,3.0,0.782563072,3.3865000000000003,0.0,10,0.9172649,0.061069965,-3.090057373046875,0.35
chr1:231214244-231214250,chr1,WGATAR_277,231214244,231214250,18,1,21,-38245,317,5.5,19.25,6.5,5.5,1.75,4.25,2.6,4.75,3.5,2.75,0.52335951,3.446166666666666,0.0,13,1.614859,0.68595195,0.0582275390625,0.3
chr1:231293416-231293422,chr1,WGATAR_279,231293416,231293422,19,1,21,-4437,52,2.5,11.5,5.25,5.5,1.0,5.5,0.0,4.0,5.75,4.75,0.528815954,4.173736842105264,0.0,4,0.35181177,0.051997423,-0.04595947265625,0.45
chr1:231293474-231293480,chr1,WGATAR_278,231293474,231293480,39,1,21,-4379,52,3.0,15.0,3.75,3.25,1.75,4.0,0.0,2.75,4.0,4.75,0.592006792,2.096,-0.161667,4,0.59382075,0.11630988,-11.112060546875,0.5
chr1:231296032-231296038,chr1,WGATAR_282,231296032,231296038,42,2,21,-1821,34,23.0,315.75,155.75,236.75,13.5,22.0,28.6,43.0,39.25,41.5,0.280971958,7.504470588235295,0.0,20,1.8341868,2.007109,0.3291015625,0.45
chr1:231296072-231296078,chr1,WGATAR_281,231296072,231296078,2,2,21,-1781,34,23.0,353.0,176.0,273.75,13.5,22.0,24.96,48.5,46.5,43.25,0.745016844,7.350949999999999,0.713667,20,1.5512211,1.1176348,-0.4764404296875,0.4
chr1:231296207-231296213,chr1,WGATAR_280,231296207,231296213,133,2,21,-1646,129,16.25,223.25,128.75,154.25,7.25,15.0,10.4,30.0,29.25,30.5,0.575280946,6.514352941176471,0.0,20,0.25820506,0.08410716,-0.0226287841796875,0.5
chr1:231298235-231298241,chr1,WGATAR_283,231298235,231298241,608,1,21,-44165,523,7.5,6.75,8.25,5.0,19.5,7.0,16.12,4.5,5.75,3.25,1.166958782,7.861387096774193,0.0,28,0.07552314,-0.016608238,12.749710083007812,0.55
chr1:231298764-231298770,chr1,WGATAR_284,231298764,231298770,932,1,21,-44694,523,5.75,4.0,2.75,3.5,4.25,1.25,2.6,1.5,3.0,3.0,0.748376824,22.291111111111107,0.0,14,0.042717814,0.10991788,-109.93748474121094,0.55
chr1:231336338-231336344,chr1,WGATAR_286,231336338,231336344,61,2,21,-12966,228,4.5,17.0,8.0,14.25,2.5,5.0,3.64,2.75,6.75,9.25,0.469301583,3.7591666666666663,0.0,16,2.0348186,1.3955283,0.492828369140625,0.45
chr1:231336572-231336578,chr1,WGATAR_285,231336572,231336578,173,1,21,-13200,228,4.75,23.5,7.5,13.75,6.0,6.5,2.08,5.5,5.5,9.0,0.656131469,7.202133333333334,0.11,10,1.5660746,0.5253308,3.82763671875,0.5
chr1:231369985-231369991,chr1,WGATAR_288,231369985,231369991,36,1,21,-6963,5,4.5,17.0,2.5,2.5,1.5,5.5,1.56,2.0,0.5,3.25,0.01105475,3.9038333333333335,0.0,10,0.5975325,0.18076253,-0.7734375,0.3
chr1:231369996-231370002,chr1,WGATAR_287,231369996,231370002,25,2,21,-6952,5,4.5,17.0,2.5,2.5,1.5,5.5,1.56,2.0,0.5,3.25,0.20463518,2.89875,-0.202,10,0.45586538,0.42492604,-0.64886474609375,0.5
chr1:231377593-231377599,chr1,WGATAR_289,231377593,231377599,713,2,21,-661,541,7.5,13.0,7.5,3.25,8.5,4.0,3.12,4.25,8.75,2.75,2.707587452,8.819076923076922,0.0,17,0.23595095,0.18993759,5.3954315185546875,0.6
chr1:231378140-231378146,chr1,WGATAR_292,231378140,231378146,166,2,21,-1208,88,4.25,17.0,3.5,2.75,3.25,3.0,1.04,6.25,6.25,5.0,0.724669588,5.490588235294118,0.0,14,0.7204716,0.041473627,-0.8399658203125,0.45
chr1:231378234-231378240,chr1,WGATAR_291,231378234,231378240,72,1,21,-1302,68,5.25,23.0,5.25,2.0,3.25,4.0,2.08,3.75,7.5,4.75,0.702337702,4.868799999999999,0.0,14,0.06812143,0.021677732,-0.5140380859375,0.45
chr1:231378308-231378314,chr1,WGATAR_290,231378308,231378314,2,1,21,-1376,68,5.25,27.0,6.0,2.0,4.5,4.25,1.04,2.5,6.75,4.5,0.760161882,4.331307692307693,0.0,14,0.66781425,0.3648882,-0.049312591552734375,0.5
chr1:231379967-231379973,chr1,WGATAR_293,231379967,231379973,284,2,21,-3035,300,2.0,3.75,2.75,2.0,1.75,1.25,0.52,2.25,2.75,2.0,0.12951706,5.4078333333333335,0.0,5,0.08314568,0.032877684,-0.379638671875,0.35
chr1:231380273-231380279,chr1,WGATAR_294,231380273,231380279,22,3,21,-3341,105,3.75,5.5,1.0,1.0,2.0,2.5,0.52,1.75,4.75,3.75,0.6897015,6.37975,0.5055,1,1.0829248,0.6115973,-3.693286895751953,0.35
chr1:231380384-231380390,chr1,WGATAR_295,231380384,231380390,133,2,21,-3452,105,3.5,3.75,0.0,0.5,3.25,3.0,1.56,2.25,3.75,2.75,0.436414635,4.881916666666667,0.0,1,0.05653715,0.06544447,2.1411361694335938,0.4
chr1:35646353-35646359,chr1,WGATAR_18,35646353,35646359,114,2,8,-15212,93,4.75,24.5,9.25,8.0,5.25,6.5,1.04,24.5,6.5,4.0,0.987649621,15.9465,0.0,9,-0.00806725,0.023947716,-2.0581817626953125,0.5
chr1:35646452-35646458,chr1,WGATAR_20,35646452,35646458,15,3,8,-15113,70,5.0,40.5,12.75,17.0,6.5,6.25,5.2,34.25,7.75,6.0,1.118138109,18.419,1.74133,27,1.381679,0.5960865,0.2620849609375,0.4
chr1:35646528-35646534,chr1,WGATAR_19,35646528,35646534,61,1,8,-15037,70,6.0,53.75,17.0,16.5,5.75,4.75,9.88,35.25,6.75,6.75,0.450591904,19.4775,0.0,27,1.2980119,1.2523255,-9.284912109375,0.35
chr1:35744994-35745000,chr1,WGATAR_22,35744994,35745000,9,3,8,-14912,219,2.75,41.75,7.25,11.75,3.25,6.75,1.56,15.5,10.75,4.0,0.827019224,9.313909090909092,0.494167,25,0.5008595,0.38230324,-5.759613037109375,0.5
chr1:35745219-35745225,chr1,WGATAR_21,35745219,35745225,231,3,8,-15137,219,5.0,25.75,7.75,11.5,2.0,6.5,0.52,17.5,8.0,4.0,-0.842044382,7.592000000000001,0.450167,25,0.08160317,-0.0064218044,-4.371429443359375,0.25
chr1:36158050-36158056,chr1,WGATAR_23,36158050,36158056,88,2,8,-50924,73244,3.5,21.25,10.25,11.75,2.25,4.0,0.52,3.5,2.5,2.75,0.818501887,1.535785714285714,0.0486667,13,0.5594764,0.28328395,4.776519775390625,0.45
chr1:36231300-36231306,chr1,WGATAR_25,36231300,36231306,286,4,8,-42312,29,4.25,7.5,8.0,1.75,3.0,5.0,0.0,1.75,2.5,6.25,0.467931037,6.29,0.428167,1,0.06005037,0.002191782,-3.87548828125,0.25
chr1:36231335-36231341,chr1,WGATAR_24,36231335,36231341,251,3,8,-42277,29,3.75,11.75,7.0,1.5,3.0,4.75,0.0,2.0,3.25,6.25,-0.013883704,8.572166666666666,0.0,1,0.04459536,0.059048176,-4.62152099609375,0.35
chr1:36231454-36231460,chr1,WGATAR_26,36231454,36231460,77,1,8,-42158,113,3.5,17.0,7.25,2.0,3.0,4.25,0.52,3.25,4.75,4.75,0.159357681,12.2575,0.1995,4,0.41237843,-0.023333311,-3.2724609375,0.4
chr1:41049338-41049344,chr1,WGATAR_28,41049338,41049344,25,3,17,-66493,226,6.75,39.25,7.75,2.25,3.25,8.5,1.56,6.75,4.5,10.75,0.757175096,9.124,0.0,13,1.6554701,1.0893908,0.504241943359375,0.45
chr1:41049570-41049576,chr1,WGATAR_27,41049570,41049576,257,4,17,-66725,226,5.5,19.75,5.75,0.25,3.5,3.5,0.52,2.25,3.25,3.5,0.333084016,5.3348571428571425,0.0,7,0.006015897,0.06248808,0.434661865234375,0.25
chr1:41099654-41099660,chr1,WGATAR_33,41099654,41099660,165,2,17,-25861,18,6.75,110.0,35.5,40.5,7.75,10.75,10.4,18.0,14.5,15.5,0.483425206,3.675260869565217,0.0,16,0.0992645,0.1751008,-3.0472412109375,0.3
chr1:41099678-41099684,chr1,WGATAR_32,41099678,41099684,141,3,17,-25837,18,9.75,140.5,44.25,60.0,9.25,12.5,10.4,21.25,18.5,20.0,0.519280015,5.1292857142857144,0.0,20,1.1304996,0.8171077,-0.84197998046875,0.45
chr1:41099795-41099801,chr1,WGATAR_31,41099795,41099801,24,2,17,-25720,47,13.5,168.75,54.25,91.75,7.5,11.0,21.32,28.25,24.0,21.5,0.522970749,2.855888888888889,0.0,20,0.20033789,0.26133966,-1.44158935546875,0.5
chr1:41099848-41099854,chr1,WGATAR_30,41099848,41099854,29,4,17,-25667,28,12.0,167.5,52.25,92.75,5.5,9.25,37.44,30.0,24.5,21.0,0.594192557,5.0986153846153845,0.0,20,1.917843,0.92854095,0.38250732421875,0.45
chr1:41099882-41099888,chr1,WGATAR_29,41099882,41099888,63,1,17,-25633,28,12.0,152.25,46.5,79.5,3.5,8.75,37.44,31.25,21.75,19.5,0.593581707,6.8910526315789475,0.0,20,0.5040827,0.25094175,1.089996337890625,0.35
chr1:41110935-41110941,chr1,WGATAR_35,41110935,41110941,50,2,17,-14580,66,4.25,69.75,8.25,11.0,3.5,2.25,0.52,14.0,6.75,3.75,0.210995722,11.541999999999998,0.0,16,1.5835469,0.443856,-1.7562408447265625,0.45
chr1:41111007-41111013,chr1,WGATAR_34,41111007,41111013,22,1,17,-14508,66,4.25,77.0,7.75,12.25,3.5,2.25,0.52,14.0,6.5,4.25,0.854093081,6.27290909090909,0.6225,16,0.26695228,-0.024610996,-3.3306922912597656,0.4
chr1:41176854-41176860,chr1,WGATAR_36,41176854,41176860,626,2,17,-19117,182,3.0,6.25,5.5,4.25,3.25,5.0,0.52,4.0,2.25,5.5,0.560325424,16.36866666666667,1.903,5,0.2349326,0.08977151,0.626861572265625,0.35
chr1:41177042-41177048,chr1,WGATAR_38,41177042,41177048,438,1,17,-19305,182,6.75,12.0,9.25,3.75,3.0,3.0,0.52,4.0,4.75,5.0,0.411266771,7.6015,0.0,5,0.6715932,-0.0053083897,-1.761932373046875,0.3
chr1:41177365-41177371,chr1,WGATAR_40,41177365,41177371,115,2,17,-19628,221,7.5,35.75,9.0,4.75,6.5,7.25,1.56,6.0,6.75,6.5,0.279095982,11.629333333333333,0.0,16,0.03390169,0.013765812,-2.7572021484375,0.3
chr1:41177592-41177598,chr1,WGATAR_39,41177592,41177598,112,3,17,-19855,198,6.5,52.75,6.0,4.25,5.25,10.75,0.52,8.5,9.0,7.5,0.404010906,6.156538461538462,0.0,16,0.3518868,0.082874775,-1.0966796875,0.4
chr1:41177796-41177802,chr1,WGATAR_37,41177796,41177802,316,1,17,-20059,198,4.0,17.75,5.75,3.25,2.75,4.75,0.0,5.5,3.75,3.75,0.370434368,5.875380952380953,0.0,10,0.010409236,-0.008081198,-1.58746337890625,0.35
chr1:41255028-41255034,chr1,WGATAR_41,41255028,41255034,24,3,17,-15485,21716,1.75,13.25,0.5,1.0,0.0,2.25,0.0,1.0,0.75,4.5,0.70165174,11.616153846153846,0.105167,4,1.5011599,0.2806008,0.2874755859375,0.45
chr1:41276750-41276756,chr1,WGATAR_42,41276750,41276756,39,1,17,5940,9949,3.25,21.25,2.25,0.25,2.5,4.0,1.04,2.0,6.0,1.75,1.873812761,1.7833142857142856,0.0,16,1.0557295,0.4437194,0.18597412109375,0.55
chr1:41286705-41286711,chr1,WGATAR_46,41286705,41286711,28,1,17,15895,36,8.5,307.0,85.5,146.5,15.25,10.5,21.84,22.25,18.25,30.75,0.91337376,12.76375,0.0,20,2.0908594,1.0735888,0.5596923828125,0.65
chr1:41286747-41286753,chr1,WGATAR_45,41286747,41286753,14,3,17,-277558,36,9.75,375.75,99.75,190.0,15.75,10.75,24.96,27.5,22.0,36.75,1.905947183,15.3175,0.0,20,1.9817369,0.7644563,2.7450942993164062,0.55
chr1:41287447-41287453,chr1,WGATAR_44,41287447,41287453,714,3,17,-420593,34,2.0,13.75,6.75,4.25,3.75,8.5,1.04,1.5,2.0,4.0,0.594886112,6.050375,0.0,20,0.68868,0.91937923,-0.68609619140625,0.45
chr1:41287487-41287493,chr1,WGATAR_43,41287487,41287493,754,2,17,16677,34,1.5,10.25,5.75,4.25,4.25,7.5,1.04,1.0,1.25,4.25,0.951964807,6.64352,0.0,10,0.76206064,0.28577948,-2.7882232666015625,0.45
chr1:41440394-41440400,chr1,WGATAR_47,41440394,41440400,400,1,17,-4961,36,4.25,18.75,8.75,4.5,1.5,3.25,1.04,1.5,6.0,3.0,0.484147118,5.217944444444445,0.0,3,0.14006245,0.01975441,-0.91851806640625,0.55
chr1:41440436-41440442,chr1,WGATAR_49,41440436,41440442,358,3,17,-4919,36,4.5,24.0,10.25,6.0,1.75,5.0,1.04,1.5,7.0,3.25,0.564818006,3.8285882352941174,0.0,3,0.0974738,0.051330566,-2.384857177734375,0.55
chr1:41440735-41440741,chr1,WGATAR_52,41440735,41440741,59,3,17,-4620,63,10.75,251.25,48.5,95.25,5.25,8.5,4.16,21.75,31.0,26.5,0.642553028,8.052240000000001,0.0,16,1.1201727,0.2248478,0.0828094482421875,0.4
chr1:41440804-41440810,chr1,WGATAR_51,41440804,41440810,10,2,17,-4551,25,12.0,297.25,52.25,121.0,5.0,9.5,7.8,27.25,35.25,29.75,0.532750932,5.492846153846155,0.0,16,1.0648663,1.6413715,-3.0155487060546875,0.45
chr1:41440835-41440841,chr1,WGATAR_50,41440835,41440841,41,2,17,-4520,25,12.25,272.0,51.75,111.25,4.75,8.5,6.24,25.75,31.5,29.0,3.181187534,2.101913043478261,-0.274333,16,0.40216327,0.13680506,-2.299041748046875,0.65
chr1:41441149-41441155,chr1,WGATAR_48,41441149,41441155,355,2,17,-4206,308,5.25,34.25,10.5,9.5,2.5,2.5,1.04,3.75,5.5,8.75,-0.179591397,9.413,0.0,4,0.7870937,0.04628849,-3.392486572265625,0.2
chr1:41447260-41447266,chr1,WGATAR_53,41447260,41447266,707,2,17,-32997,338,5.0,9.5,2.0,1.0,2.75,3.75,0.52,2.75,1.75,2.25,0.566607686,6.788058823529412,0.0,10,0.906107,0.38018918,-23.14384651184082,0.5
chr1:41447604-41447610,chr1,WGATAR_54,41447604,41447610,363,3,17,-32653,157,2.5,12.25,5.25,1.75,3.5,3.75,0.52,3.75,3.25,3.75,0.18492081,15.35,0.0,10,0.13504308,0.00415349,0.466796875,0.3
chr1:41447767-41447773,chr1,WGATAR_55,41447767,41447773,200,2,17,-32490,157,3.5,27.0,6.25,2.0,3.75,4.75,0.52,5.5,3.5,3.25,1.18225744,10.46376923076923,-0.151667,10,0.34838468,0.04332447,0.42836761474609375,0.5
chr1:41447959-41447965,chr1,WGATAR_56,41447959,41447965,8,2,17,-32298,186,4.25,79.0,6.0,4.25,3.25,4.5,2.08,6.75,6.0,3.0,0.359294976,5.914875,0.0,16,1.469175,1.0330787,0.1795654296875,0.45
chr1:41469333-41469339,chr1,WGATAR_60,41469333,41469339,202,2,17,-10924,47,16.5,99.75,17.25,22.25,33.25,8.75,11.96,15.5,15.0,20.25,0.857905381,5.815727272727273,0.0148334,20,0.88454115,0.067629576,-1.6849517822265625,0.4
chr1:41469386-41469392,chr1,WGATAR_59,41469386,41469392,149,1,17,-10871,47,23.5,132.75,23.75,35.25,60.75,10.75,13.0,22.75,20.5,22.75,0.261360811,6.34542857142857,0.0,20,0.29125512,0.10487127,-0.4129447937011719,0.4
chr1:41469528-41469534,chr1,WGATAR_58,41469528,41469534,7,1,17,-10729,136,52.5,200.75,40.75,81.5,222.75,18.75,58.76,43.25,39.0,20.25,0.507713626,6.44864705882353,0.0,26,1.990752,1.079946,0.17767333984375,0.6
