WGATAR_id,EFO:0002067 ATAC-seq,EFO:0002067 TF ChIP-seq GATA1,EFO:0002067 Histone ChIP-seq H3K27ac,EFO:0002067 TF ChIP-seq CTCF,EFO:0002067 Histone ChIP-seq H3K27me3,EFO:0002067 Histone ChIP-seq H3K36me3,EFO:0002067 Histone ChIP-seq H3K4me1,EFO:0002067 Histone ChIP-seq H3K4me2,EFO:0002067 Histone ChIP-seq H3K4me3,EFO:0002067 Histone ChIP-seq H3K79me2,EFO:0002067 Histone ChIP-seq H3K9ac,EFO:0002067 Histone ChIP-seq H4K20me1,EFO:0002067 total RNA-seq
WGATAR_14,0.6777246,-0.14403543,0.6155728,0.6780736,0.021267831,0.7323586,0.18091846,0.3870493,0.21885777,0.065513104,0.33940673,-0.27507928,-0.09921107
WGATAR_15,0.52255404,0.41647696,0.6941076,0.76334167,-0.2643132,0.69202745,0.8044262,0.56108516,0.48682967,0.60748744,0.37366125,-0.04521729,-0.09771699
WGATAR_16,-0.019327879,-0.012084097,-0.01940772,-0.023588985,0.7043349,-0.12848037,-0.06951508,-0.06675884,-0.1367183,-0.06678218,-0.13286689,0.70102453,-0.11990619
WGATAR_17,-0.004738182,-0.007037014,-0.012323201,-0.021650672,0.56114435,0.84230745,-0.043994725,-0.026003838,-0.054841846,-0.10611889,-0.069456816,-0.3180533,0.9174949
WGATAR_18,0.41147023,0.03835368,0.01249215,0.086704314,0.35126346,0.42700082,0.3135097,0.018198013,-0.022144347,-0.029783338,-0.19147186,-0.0073988438,-0.04018393
WGATAR_19,-0.01821965,-0.023060292,-0.025141299,-0.092772365,0.63329387,-0.0024551451,-0.12467858,-0.04996425,-0.22364867,-0.06094858,-0.36510777,-0.17038345,-0.06528866
WGATAR_20,-0.016184002,-0.015264541,-0.015563101,-0.065054476,0.5627136,-0.061923087,-0.090586096,-0.030437797,-0.05757743,-0.048984557,-0.3454412,-0.16886851,-0.054526508
WGATAR_21,0.02338317,0.2338627,-0.00082173944,0.031268775,0.5059847,-0.11784479,0.00058320165,0.002600968,-0.024112344,-0.039729744,-0.2264351,0.24311921,
WGATAR_22,0.9888283,0.99874735,0.9932394,0.96496594,-0.333194,0.8713907,0.94759107,0.9787364,0.9729303,0.962578,0.7843785,0.34588006,
WGATAR_23,0.7067308,0.28222084,0.6019701,0.6651356,0.7895497,0.5112553,0.6146377,0.6905973,0.6258937,0.1290622,0.6788344,0.5081202,
WGATAR_24,0.82055366,0.40643042,0.6482843,0.16173995,0.2063914,0.35391155,0.4723024,0.7953905,0.34580594,0.31563795,-0.004174307,0.31525674,0.028659552
WGATAR_25,0.4615686,0.8556548,0.06885454,0.15920144,0.15532538,0.6883035,0.21059313,0.19475982,0.017110243,0.29038236,-0.02318561,0.5348995,0.5798851
WGATAR_26,0.25786144,-0.016468823,0.13248181,0.089300066,-0.10281967,0.729263,-0.038026094,0.64774907,0.58218694,0.46955082,0.09334536,-0.03331119,0.56380206
WGATAR_27,0.394701,0.26938218,-0.21456279,-0.09242037,0.2872134,0.2717142,0.19385454,0.44419244,0.010817245,-0.020414427,0.0028880835,0.21332222,-0.3605491
WGATAR_28,-0.2709087,-0.17393076,-0.27703884,-0.20801517,-0.24119574,-0.35535446,0.607207,-0.38851988,-0.27182192,-0.31983197,-0.3939057,-0.32719797,-0.3668443
WGATAR_29,0.99464786,0.99818045,0.9896246,0.97663563,-0.26701775,0.81903386,0.9601946,0.9794153,0.9594326,0.832657,0.8138327,-0.08743572,
WGATAR_30,0.99519527,0.99946207,0.9886211,0.9810189,-0.21277148,0.8147436,0.9609492,0.9792024,0.9600543,0.8357636,0.814808,0.8916494,
WGATAR_31,0.99519867,0.9981798,0.99098897,0.9759451,-0.26997346,0.8198242,0.9680764,0.98141915,0.96307373,0.8455651,0.8351982,-0.09346792,
WGATAR_32,-0.012405306,-0.001044035,-0.018130153,-0.024878621,0.76973397,-0.22354355,-0.068019,-0.03406951,-0.055955827,-0.23641282,-0.20684838,0.84567404,
WGATAR_33,0.95804,0.92281723,0.98462635,0.71678346,-0.26670223,0.78494036,0.94714725,0.9655506,0.93981004,0.79549634,0.80600226,0.70319587,
WGATAR_34,0.4888637,-0.016433358,0.4798615,0.008988887,0.69426304,0.5431495,-0.26986307,0.22408806,0.12623826,0.14433879,0.5385679,0.32003275,
WGATAR_35,0.34216666,-0.03868565,0.0003542751,-0.062436044,0.72415423,0.04064271,-0.31739342,-0.22969092,0.620909,-0.2157287,0.17651859,0.25563633,
WGATAR_36,0.9316782,0.74812436,0.05888474,0.3275646,0.13467136,0.5423912,0.6736294,0.30907112,0.007995456,0.04361868,-0.0017385781,0.2420784,-0.08609244
WGATAR_37,0.7876883,0.35514063,0.03712946,0.3697,0.0050763115,0.8147423,0.32230145,0.13895315,0.010348439,0.066966355,-0.004056692,0.307872,0.02752167
WGATAR_38,0.66642797,0.558687,0.8874569,0.30048278,0.38214925,0.08692819,0.3697,0.80782026,0.9376577,0.91919404,0.7031703,0.5906643,0.019612163
WGATAR_39,0.10287407,0.10346699,0.028201908,0.11149582,0.36174554,0.5625419,0.19488695,0.25324628,0.05863017,0.5022573,0.61984897,0.15340616,0.7690823
WGATAR_40,0.93260205,0.9337169,0.96555126,0.79728276,0.18371814,-0.07206452,0.7817426,0.93006235,0.94281924,0.662067,0.61013895,0.4200952,0.7878903
WGATAR_41,0.1162031,0.9792857,-0.0486646,0.6202607,-0.08122796,0.81973374,0.9094137,0.9135579,0.91316056,0.9442742,0.6504431,0.97378194,-0.15844288
WGATAR_42,0.47210255,0.10326603,0.027473122,0.95554405,0.55927986,0.35548112,-0.0543257,-0.029387593,0.6278787,0.1877596,0.64279336,0.4359359,-0.15777577
WGATAR_43,0.9686017,0.99105155,0.93039834,0.8680104,0.48919582,-0.08506754,0.9517403,0.949023,0.06156075,-0.04655701,0.089282125,0.7446967,-0.09610307
WGATAR_44,0.057748944,-0.014721185,0.19976103,0.13438654,0.06555015,0.8773429,0.25518513,0.33003423,0.84771585,0.9353023,0.8328785,-0.039305717,0.8988101
WGATAR_45,-0.003251791,-0.00011834502,-0.005745381,-0.013694078,0.835768,-0.09650332,-0.0038900375,-0.00865078,-0.019853473,-0.060423583,-0.013291508,0.9486947,-0.11990619
WGATAR_46,-0.0043656826,-0.0002668202,-0.008657008,-0.015616357,0.8800738,-0.10389519,-0.0051247478,-0.010377407,-0.022191674,-0.07235435,-0.014547676,0.94540274,-0.13752764
WGATAR_47,0.15090245,0.14096445,0.8372961,0.40018895,0.6241438,0.1872776,0.6685162,0.8996599,0.8369327,0.52405864,0.47585338,-0.075192094,0.75228477
WGATAR_48,0.4681337,0.1558164,0.08578241,0.12451771,0.70248884,0.46030977,0.3507187,0.80678684,0.6166022,0.40862837,0.11883032,0.57657814,0.0016550422
WGATAR_49,0.6989231,0.85787284,0.08452883,0.45562404,0.49188998,0.07350732,0.48488763,0.35375074,0.23333064,0.12025604,0.3756053,0.6190933,0.8608886
WGATAR_50,0.91028863,0.9983254,-0.057342947,0.8580427,0.7463988,-0.33319747,0.92015105,0.5372734,0.12414771,-0.19105202,-0.15940985,0.79156375,-0.08551434
WGATAR_51,0.98364747,0.9999156,0.8994122,0.9721954,-0.14184469,-0.33037218,0.935732,0.9669987,0.8593116,0.75136137,0.7935196,0.7983651,-0.09638971
WGATAR_52,0.98130375,0.99960923,0.8821322,0.96493155,-0.15701744,-0.34671342,0.9336854,0.9635539,0.8470062,0.48979706,-0.04408115,0.80631226,-0.09800467
WGATAR_53,0.9596374,0.8304187,0.26229393,0.7631607,0.42630228,0.05756545,0.821198,0.7618804,0.4286078,0.111237496,0.184753,0.96489143,0.032229006
WGATAR_54,0.6209226,0.119814485,0.84838855,0.0995515,0.48510915,0.9838646,0.37133405,0.6733293,0.77380806,0.23099306,0.5308473,0.26084036,0.94458807
WGATAR_55,0.82641095,0.86355853,0.8587421,0.45686063,0.5111899,0.95983785,0.8156238,0.8707981,0.22932097,0.07251352,0.86371183,0.5106775,0.28939468
WGATAR_56,-0.04748404,-0.21256602,0.09114838,-0.09446898,0.33729726,0.81934327,-0.051059127,0.005938053,0.036866635,0.26966155,0.08252436,0.063057065,0.03031081
WGATAR_57,0.08769712,0.29733863,0.09855369,0.37854424,-0.0933896,0.8842509,0.7651355,0.05931461,0.21081978,0.7894485,0.8564036,0.58303225,0.9238305
WGATAR_58,0.9867717,0.042827994,0.9630885,0.90831995,-0.22955179,0.9430329,0.93857825,0.95194185,0.86637414,0.8860146,0.9012059,-0.07201621,0.9276247
WGATAR_59,0.8979368,0.99875027,0.97088635,0.76891494,0.06755756,-0.05369225,0.9732857,0.96392936,0.81491554,0.835338,0.68908036,0.92880833,-0.066655606
WGATAR_60,0.30908546,0.99260485,0.0032058656,0.5005144,0.6427519,-0.03207308,0.94746244,0.9040439,0.6317791,0.052369624,0.23461437,0.931406,-0.056313276
WGATAR_61,0.841678,0.5147139,0.9102756,0.7748828,0.6466303,-0.0030522048,0.53041047,0.91992426,0.83628047,0.5644282,0.4654882,0.02286473,
WGATAR_62,0.043426365,0.96007776,-0.01769185,0.14718345,0.6286785,-0.20574388,0.41319773,0.49881324,-0.067213506,-0.077266574,-0.30328602,0.77017975,
WGATAR_63,0.9771887,0.99598444,0.9691153,0.9537574,-0.23250854,0.7757504,0.9231684,0.9556531,0.8996502,0.91543627,0.66419566,0.6396009,
WGATAR_64,0.94517696,0.9940635,0.93293095,0.9352642,-0.22039127,0.71818656,0.8799008,0.91205883,0.80064976,0.8861995,0.63747287,0.76464665,
WGATAR_65,0.7608305,0.9890814,0.8109885,0.8384963,0.10556117,0.6690798,0.7870304,0.70416284,0.6649411,0.8303591,0.6115396,0.7262244,
WGATAR_66,0.35151345,0.53134334,-0.019194573,0.14860927,0.36691415,-0.154275,-0.12825307,-0.1739806,0.003322035,-0.1410088,-0.37003416,0.25948906,
WGATAR_67,0.27138227,-0.13634855,-0.001957178,0.07549092,0.50358033,-0.24092746,-0.12254575,-0.25176007,0.14692491,-0.124928236,0.329128,-0.17401572,
WGATAR_68,0.4904989,0.7855029,0.39355877,0.28938073,-0.009893209,0.5439167,0.6650942,0.4780425,0.081109874,0.7047503,0.3224718,0.5840384,
WGATAR_69,0.14051452,0.7926152,0.14218584,0.27148658,0.39506993,0.5188162,0.46422824,0.51528853,0.2966876,0.5728204,-0.15333131,0.48599717,
WGATAR_70,0.97778904,0.9694661,0.9777447,0.9483255,-0.34286898,0.585985,0.9483894,0.9789628,0.95398855,0.82717794,0.7775549,-0.3024761,
WGATAR_71,0.61639297,0.93825746,0.92501605,0.3437754,-0.178709,0.29445037,0.89820504,0.8791814,0.6714742,0.7990275,0.51722276,-0.064822465,
WGATAR_72,-0.010746002,0.00025618076,-0.0059503615,-0.018379807,0.5935311,0.6529973,-0.00019806623,0.053148836,-0.020356566,0.83958316,0.8183238,-0.33555794,
WGATAR_73,-0.010201484,0.00030878186,-0.009883493,-0.023943394,0.64690167,-0.22912233,-0.034759223,-0.013537884,-0.027493238,-0.117658794,-0.15651035,0.64474225,
WGATAR_74,0.9775881,0.9998548,0.9677321,0.9631262,-0.27010864,-0.3619575,0.9496151,0.9776331,0.92880964,0.8089961,0.775514,0.6876971,
WGATAR_75,0.8340172,0.99740183,0.96806765,0.86018,-0.32593635,-0.36670044,0.94618416,0.9704611,0.9245372,0.7939316,-0.043679178,0.6711968,
WGATAR_76,0.23218177,0.11013746,0.15164396,0.049666584,0.49366015,0.4326496,0.3474001,0.64519495,0.099678636,0.4772792,0.070702255,0.42982253,
WGATAR_77,-0.042153418,-0.00515455,-0.009855568,-0.041903973,0.7239738,-0.24118069,-0.06668991,-0.03204304,-0.055443436,-0.12620625,-0.22690976,-0.3774914,
WGATAR_78,0.84618056,0.9605769,0.93835926,0.9404061,-0.3319453,-0.1410088,0.8852234,0.88708115,0.6937858,0.8811232,0.62691855,0.42900532,
WGATAR_79,-0.012822986,0.89417887,-0.032105118,0.23201512,0.4988657,0.5444876,0.854411,0.058867157,-0.22505373,0.35491243,-0.16885793,0.64761645,
WGATAR_80,0.19958895,0.16580492,0.059759974,0.23982047,0.44297507,0.10999875,0.31282884,0.32551727,0.034766257,-0.014704436,-0.21622379,0.039714664,
WGATAR_81,0.9858465,0.9681324,0.96411365,0.94314474,-0.35461646,0.7806563,0.9311472,0.9442173,0.68057597,0.89052236,0.6187848,-0.33003476,
WGATAR_82,-0.01728788,0.00048029423,-0.06253961,-0.029554784,0.6683878,-0.2601032,-0.089162886,-0.09612158,-0.35908777,-0.13049221,-0.3977345,-0.33998764,
WGATAR_83,-0.01939407,0.0012522936,-0.07159838,-0.025623769,0.65139484,0.7248855,-0.09146422,-0.098968476,0.13356589,-0.125815,0.5784664,-0.34000677,
WGATAR_84,0.29385394,0.6131505,0.11221829,0.32551727,0.5970024,0.42832303,0.22223237,0.079578996,0.5100869,0.4832399,0.36907184,0.46581948,
WGATAR_85,0.2596088,0.94803107,0.55962026,0.49144268,0.54433805,0.070994675,0.63398206,0.58873767,0.61459637,0.5363946,0.5827863,0.32606137,
WGATAR_86,0.15591991,0.78778553,0.37099642,0.57709813,0.39051098,0.7793618,0.2612205,0.5530963,0.5765269,0.5695265,-0.08724223,-0.16801675,
WGATAR_87,0.3357313,0.5185743,-0.25578186,0.055444002,0.55030674,-0.163584,-0.24943238,0.2574405,0.43219164,-0.17397384,-0.19198334,0.33812582,-0.08945051
WGATAR_88,0.46699074,0.52209044,-0.0245578,0.14419743,0.43982306,0.029559702,0.011326045,0.03730368,0.3859799,-0.09329921,-0.12529054,0.110337116,
WGATAR_89,0.6733273,0.97551155,0.8985015,0.5373053,0.42802075,0.64323753,0.77805877,0.6117593,0.62738425,0.8765172,0.6036011,0.6920474,
WGATAR_90,0.42910373,0.8026267,0.7138256,0.5373053,0.4186634,0.7020582,0.63103235,0.58386755,0.4757969,0.8204919,0.27080387,-0.050063223,
WGATAR_91,-0.27588785,0.9851367,-0.07144165,-0.055790126,0.37890735,-0.04473135,0.5691903,-0.377957,-0.16056195,-0.10579598,-0.3718245,0.6885429,
WGATAR_92,-0.20790051,0.99181277,-0.07390523,0.56527954,0.570429,-0.044233948,0.7664757,0.5823836,0.6293992,-0.107298315,-0.38559636,0.6993331,
WGATAR_93,0.2959992,0.61062914,0.5292842,0.1824291,0.28594688,0.9099822,0.12076701,0.34969607,0.087903954,0.30262694,0.34383583,0.6637135,
WGATAR_94,0.8066286,0.98948497,0.93105406,0.87746096,-0.2958165,0.8353329,0.83485854,0.8468478,0.7326001,0.9359882,0.6666361,0.5074344,0.7508931
WGATAR_95,0.82743466,0.9945226,0.9326793,0.9079531,-0.29215193,0.83352,0.84574,0.8528719,0.73042965,0.93556833,0.66907346,0.64869666,0.7511678
WGATAR_96,0.39116552,0.9760411,-0.03150648,0.11484012,0.41653013,-0.0056630373,0.7802732,0.7474374,-0.21266909,0.26293886,-0.26600397,0.38095748,0.21670614
WGATAR_97,-0.08096728,-0.032402813,-0.027051657,0.01995641,-0.12388332,0.77535844,-0.16901568,-0.28086787,-0.24882403,-0.022625446,-0.3119921,-0.26236197,
WGATAR_98,0.8325083,0.97813535,0.8900106,0.031500965,0.5582615,0.81033874,0.8548003,0.8156329,0.72262484,0.9406411,0.63223165,0.7380259,
WGATAR_99,0.94498837,0.8663846,0.98986006,0.8520674,-0.4134338,0.6810534,0.93070364,0.9329495,0.9550878,0.9482423,0.89424527,-0.23480397,0.877875
WGATAR_100,0.111383855,0.6255505,0.014909744,0.10469562,0.53765476,0.32544383,0.45736113,0.1217511,0.007862806,-0.03290519,0.034697533,0.59300685,-0.11494115
WGATAR_101,0.8071257,0.9553516,0.01965779,0.58370465,0.3567649,-0.12524039,0.1474227,0.10160828,-0.014762342,-0.08248538,-0.17497702,0.6083068,
WGATAR_102,0.85239947,0.09481329,0.9819637,0.77150095,-0.38762563,0.861946,0.5433591,0.9533317,0.95303017,0.92851603,0.6701745,-0.36921668,
WGATAR_103,0.9908059,0.99952054,0.99494666,0.9643748,-0.4370482,0.85041475,0.9554461,0.9777865,0.9601207,0.91841877,0.71053797,0.65086156,
WGATAR_104,-0.01593998,2.0682812e-05,-0.016161978,-0.010959953,0.6536931,0.80604196,-0.07545626,-0.029233158,0.80200213,0.8650484,0.69193006,-0.338197,
WGATAR_105,0.36819667,0.8590579,0.08251795,0.22068939,0.48959586,-0.09111202,0.6114437,0.69271183,0.23501478,-0.050571263,0.6755108,0.5457794,-0.12841138
WGATAR_106,0.98193216,0.9983552,0.9650985,0.9365443,-0.29443103,-0.15890995,0.95319295,0.96652055,0.9507872,-0.07507768,-0.08563593,0.68739796,-0.31485277
WGATAR_107,0.9864757,0.9990431,0.9806451,0.9646206,-0.33534315,-0.15141892,0.96228385,0.97556627,0.9673177,-0.07288557,-0.10786834,0.6850883,-0.3304572
WGATAR_108,0.83205724,0.98257756,0.9432713,0.71584415,0.5784664,-0.104971886,0.9473966,0.9593595,0.87886393,-0.011604488,0.73936623,0.66704,
WGATAR_109,0.5094589,0.9113971,0.042886496,0.38559514,0.3614761,0.7953234,0.7711623,0.6754323,0.34748006,-0.00773865,0.5541954,0.56957376,0.6616076
WGATAR_110,0.98406225,0.9932625,0.97826576,0.9582253,-0.3813163,0.7797325,0.95337594,0.96679527,0.9092592,0.9376763,0.8006119,0.6553819,
WGATAR_111,0.37872276,0.97632855,-0.105253786,0.22387794,0.57367724,-0.124846965,0.057864815,-0.055723816,-0.19758803,-0.11339608,-0.3574257,0.69156355,-0.21271044
WGATAR_112,0.88026464,0.9917971,0.8719139,0.8503091,-0.1761038,-0.11349031,0.9121833,0.94156647,0.8465173,-0.112416744,0.6929691,0.8274292,-0.19308831
WGATAR_113,0.8958696,0.9953517,0.85762256,0.9002524,-0.13963488,0.8090054,0.90521944,0.9394508,0.845472,0.8172799,0.7897758,0.83809227,0.7941859
WGATAR_114,0.8567271,0.6645209,0.9546567,0.81512296,-0.09272382,0.7419212,0.92308414,0.9149827,0.93872154,0.9055131,0.8791591,-0.09775518,0.5890447
WGATAR_115,0.8388702,0.5735296,0.9665593,0.6034962,-0.25315893,0.76023066,0.8517536,0.864535,0.8872667,0.8891996,0.86034954,-0.24350531,0.7930751
WGATAR_116,0.2845732,0.09471512,0.31216413,0.04073432,0.5488069,0.754672,0.20764065,0.20480603,0.10217339,0.2805681,0.4552129,0.6239548,-0.07047637
WGATAR_117,0.75728,0.7207123,0.8947431,0.5433591,0.5922977,0.46755868,0.8375211,0.9051463,0.868546,0.36162212,0.82801723,0.44190913,-0.14609459
WGATAR_118,-0.057653874,0.9626969,0.4919553,0.78910136,-0.3582732,0.7905946,0.8313668,0.92097807,0.90329254,0.89487374,0.85731566,0.63713217,0.8195295
WGATAR_119,-0.030836374,0.95771277,-0.0021475852,0.011517495,0.6172652,-0.035808206,0.88563764,0.2083286,0.020961523,-0.027813375,0.3672266,0.67024535,-0.15834875
WGATAR_120,0.8086502,0.98177373,0.042172253,0.8678741,0.6244471,-0.13523158,0.95192534,0.8513121,0.0975059,-0.06003973,0.44590908,0.6924045,-0.17939506
WGATAR_121,-0.03422934,-0.0053209066,-0.036263138,-0.035397857,0.7382718,0.2412,-0.051676273,-0.030925572,-0.03337884,-0.08692399,-0.057359785,0.47414958,
WGATAR_122,0.9818469,0.9981394,0.99026394,0.9715023,-0.2926585,0.8500272,0.9847765,0.9848065,0.9746789,0.9524665,0.9447939,0.70844,
WGATAR_123,0.98009723,0.9985702,0.9896393,0.972329,-0.28983688,0.8423737,0.98380244,0.98468304,0.9747679,0.949537,0.94276285,0.71702063,
WGATAR_124,0.109041676,0.3048841,0.21512431,0.057752013,0.27626026,0.11973953,0.12799585,0.17167787,0.11034885,0.004467547,0.18398955,0.11928859,
WGATAR_125,-0.16528466,-0.0076767504,-0.085425764,-0.08655819,0.6811396,-0.15600285,-0.18713292,-0.13149315,0.5924505,-0.18658093,-0.39272505,-0.39275593,
WGATAR_126,-0.29862434,-0.041100502,-0.121959955,-0.13858572,0.5942025,0.56552714,-0.28107485,-0.24180128,0.6751596,-0.16693628,0.40702972,0.17079604,
WGATAR_127,0.8414407,0.9822999,0.89877367,0.877957,-0.3181004,0.7925999,0.78320384,0.84399664,0.15005162,0.80783975,0.59948546,0.52069324,
WGATAR_128,0.8030173,0.9701601,0.8834791,0.84036696,-0.30891407,0.8150081,0.7640134,0.8114015,0.62066054,0.79522014,0.5955453,0.5792812,
WGATAR_129,0.7384386,0.8669578,0.8860805,0.7941206,-0.12825307,0.6312339,0.79576945,0.79881406,0.6038622,0.7912868,0.6087997,-0.3398695,0.7180056
WGATAR_130,0.3429495,0.3209008,0.099255204,0.24508385,0.6624255,0.17511836,0.27063054,0.71429574,0.22438893,0.056964815,-0.09443869,0.37799305,0.7143265
WGATAR_131,0.4092665,0.83698636,0.014598578,0.6547328,0.663226,-0.027463898,0.4815558,0.6084076,0.31851184,0.3290339,-0.15876123,0.51263005,-0.06707847
WGATAR_132,0.5002956,-0.011426836,0.65123504,0.28799468,0.21611859,0.40716296,0.22891134,0.5348778,0.333454,0.4251704,0.13656268,-0.06740774,0.5820735
WGATAR_133,-0.3222769,-0.08071962,-0.25950596,-0.20437504,0.58954424,-0.27165648,-0.34833264,-0.31678444,-0.35516143,-0.10538229,0.16529778,-0.30782056,
WGATAR_134,0.1161669,0.7678367,0.08412373,0.04095313,0.2872134,0.46292192,0.13800676,0.47715616,0.053817667,0.23690824,-0.09875654,0.50069886,
WGATAR_135,0.5836762,0.60289276,0.49194813,0.5248041,0.6537439,0.2580304,0.6414137,0.7072581,0.56176347,0.53222466,0.58006144,0.5129608,
WGATAR_136,-0.039742693,0.035206676,-0.020532548,-0.12839335,0.5588419,0.30667782,0.0061542094,0.042351693,0.43843612,0.02961792,0.5788656,0.2784495,
WGATAR_137,0.5024143,0.14393795,0.580546,0.5232125,0.7024485,0.20024218,0.2901563,0.7098066,0.38070136,0.4708658,0.602906,0.33322352,
WGATAR_138,0.032945864,0.6916373,0.051096708,0.5755922,0.59955686,-0.15659401,0.026851207,0.09450093,0.37621593,-0.1221216,-0.21390519,0.46834174,
WGATAR_139,0.4331551,-0.118267626,-0.08528948,0.02375415,0.4798924,0.21636114,-0.18996778,-0.19549963,0.005201027,0.17099385,-0.28014055,0.44778633,
WGATAR_140,0.4572825,0.63576114,0.17976171,0.3551064,0.26616848,0.38380745,0.27880803,0.3628008,0.14610554,-0.23940024,0.03138101,0.41745645,
WGATAR_141,0.022375762,0.53036577,0.04200414,0.06284559,0.4855885,0.17154253,0.11989766,0.15872416,0.0054344833,0.0055870414,-0.06521934,0.49485236,
WGATAR_142,0.37376177,0.57963336,0.8938639,0.4166978,0.55631363,0.4483137,0.69363624,0.849555,0.6421154,0.23266235,0.5947974,0.19157614,
WGATAR_143,-0.08382594,0.89807767,0.16581932,0.6582753,-0.094086975,0.43211165,0.8303691,0.28222084,0.34181398,0.23271978,0.14692491,0.5671976,
WGATAR_144,0.29257172,0.7244572,0.022978157,0.018251538,0.6013137,0.53936404,0.10040209,0.037361532,0.45129666,0.24712993,-0.08495644,0.45193535,
WGATAR_145,0.85005367,0.804858,0.7998243,0.5071825,0.46162575,0.46881053,0.8082707,0.8937588,0.7865691,0.17966607,0.7316855,0.5493213,0.7375941
WGATAR_146,0.9863793,0.9989363,0.9833429,0.97734916,-0.20436302,0.8457657,0.9537668,0.97519755,0.94419026,0.80939627,0.8066678,-0.3624121,
WGATAR_147,0.48937362,0.76608014,-0.06815824,0.372274,0.44158745,0.19600537,0.7014208,0.33475858,-0.15955353,0.011745721,-0.07173361,0.4873374,0.3274113
WGATAR_148,0.38383502,-0.1053372,0.20795628,0.09256169,0.60869396,0.30328405,-0.07609007,0.02484718,-0.08658546,-0.07210341,-0.18354577,-0.15011896,-0.15937915
WGATAR_149,0.4603091,0.7361653,0.5850859,0.4724079,0.3483767,-0.06783077,0.45463204,0.4630559,-0.024495736,-0.049321324,0.39271975,0.4079501,-0.1430554
WGATAR_150,0.7683088,0.9586657,0.90152526,0.84782296,-0.2553571,-0.04607013,0.85503507,0.8273902,0.69263726,0.85143685,0.6506023,0.608046,0.32163537
WGATAR_151,0.7645619,0.9599525,0.89455557,0.8251968,-0.25923765,0.07264772,0.8500742,0.8138552,0.67709255,0.8436339,0.6454696,0.60458434,0.3135227
WGATAR_152,0.28439826,0.5673855,0.10191688,0.26645884,0.46860978,0.583297,0.20261309,0.24974012,0.25395918,0.21324001,0.16998301,0.3882935,-0.14078785
WGATAR_153,0.24148138,0.10910115,0.47454655,0.46992797,0.37491,0.44162604,0.37837306,0.6939414,0.8162571,0.4914431,0.7446113,-0.0050813705,0.8500964
WGATAR_154,-0.0026848912,0.009361148,-0.008245051,0.0063601136,0.59875476,0.45774677,0.0044724047,0.0482848,-0.00040832162,-0.048951775,-0.0027146935,0.16662717,-0.14450997
